SURVEY_YEAR,BIOMASS_MT_MALE_LE112,CV_BIOMASS_MT_MALE_LE112,CI_BIOMASS_MT_MALE_LE112,BIOMASS_MT_MALE_113TO124,CV_BIOMASS_MT_MALE_113TO124,CI_BIOMASS_MT_MALE_113TO124,BIOMASS_MT_MALE_GE113,CV_BIOMASS_MT_MALE_GE113,CI_BIOMASS_MT_MALE_GE113,BIOMASS_MT_MALE_GE120,CV_BIOMASS_MT_MALE_GE120,CI_BIOMASS_MT_MALE_GE120,BIOMASS_MT_MALE_GE125,CV_BIOMASS_MT_MALE_GE125,CI_BIOMASS_MT_MALE_GE125,BIOMASS_MT_MALE_GE125_NEW,CV_BIOMASS_MT_MALE_GE125_NEW,CI_BIOMASS_MT_MALE_GE125_NEW,BIOMASS_MT_MALE_GE125_OLD,CV_BIOMASS_MT_MALE_GE125_OLD,CI_BIOMASS_MT_MALE_GE125_OLD,BIOMASS_MT_IMMATURE_FEMALE,CV_BIOMASS_MT_IMMATURE_FEMALE,CI_BIOMASS_MT_IMMATURE_FEMALE,BIOMASS_MT_MATURE_FEMALE,CV_BIOMASS_MT_MATURE_FEMALE,CI_BIOMASS_MT_MATURE_FEMALE
1988,51457.4757,0.155834142,15716.90988,18734.62727,0.251791589,9245.754276,47765.74017,0.330945269,30983.37767,35466.53726,0.362530421,25201.08938,29031.1129,0.389425967,22158.71968,25387.27671,0.444499238,22117.86529,3643.836183,0.199815036,1427.062785,10187.31638,0.173175796,3457.825385,25365.8027,0.233145567,11591.29195
1989,49217.49882,0.136134852,13132.42515,26003.65426,0.157698356,8037.437736,83606.60653,0.143544483,23522.48349,68668.94966,0.152809519,20566.80751,57602.95226,0.161703654,18256.63139,51121.59109,0.178121992,17847.52409,6481.361176,0.272085333,3456.427299,11830.90839,0.189750212,4400.038046,19398.77416,0.151461857,5758.821751
1990,46627.46218,0.111653084,10203.95591,18447.49247,0.164945182,5963.937021,85790.80542,0.161632395,27178.48371,76084.66766,0.167137885,24924.59562,67343.31295,0.171065014,22579.36617,56985.00083,0.1946859,21744.58526,10358.31211,0.174113746,3534.908076,9859.450961,0.186574417,3605.461778,37694.21249,0.266791286,19710.71539
1991,49945.02984,0.115599493,11316.29548,26600.13181,0.258884057,13497.24607,95865.57951,0.225273992,42328.20274,81576.101,0.2255014,36055.22901,69265.44771,0.216749243,29425.93732,46359.3888,0.30877844,28056.96833,22906.05891,0.174048638,7814.065984,7022.854648,0.170919382,2352.67027,44764.05783,0.219305718,19241.34713
1992,30790.3044,0.177295283,10699.59246,22825.12233,0.275177293,12310.67252,96801.69683,0.257172658,48793.70941,85692.84632,0.265025716,44513.18361,73976.5745,0.267773889,38825.63036,51273.88807,0.366003624,36782.20055,22702.68643,0.299429104,13323.77631,1989.285066,0.168422075,656.6774545,26225.54073,0.163865468,8423.022591
1993,18036.5957,0.118782411,4199.163447,13989.94805,0.183233382,5024.313974,55234.21635,0.167053564,18085.06253,48665.00628,0.173397196,16539.21625,41244.26829,0.171654886,13876.36916,26657.80745,0.242516891,12671.33845,14586.46084,0.218512512,6247.155431,1065.854521,0.185471917,387.4647183,11641.17818,0.144457896,3296.053816
1994,10439.46053,0.100180292,2049.82328,8592.920005,0.131490724,2214.582982,37895.55927,0.139159195,10336.09045,33373.51467,0.146940054,9611.655846,29302.63926,0.153403026,8810.422532,11248.15013,0.204899899,4517.299867,18054.48913,0.207465381,7341.535668,1201.889538,0.32465697,764.7955593,9846.141003,0.205936165,3974.245974
1995,7404.513605,0.113798208,1651.535944,7059.585712,0.203681688,2818.300341,27577.69845,0.191783305,10366.32661,24328.92897,0.198216984,9451.917559,20518.11274,0.207895857,8360.636045,1610.682732,0.222725568,703.1308426,18907.43001,0.222926183,8261.323961,1057.788397,0.154832132,321.0080801,12398.34098,0.218780202,5316.522624
1996,8123.722088,0.129016756,2054.268686,4724.157056,0.262846845,2433.790364,22645.94973,0.269340813,11954.97787,20395.39745,0.278934022,11150.38165,17921.79267,0.291568778,10241.85297,429.677407,0.285580949,240.507056,17492.11527,0.298157154,10222.18263,1438.31466,0.20711642,583.8812241,9580.185829,0.279861701,5255.009112
1997,6451.422311,0.125070332,1581.487805,2516.14187,0.13944673,687.7008021,8197.229814,0.138508194,2225.351653,6623.642969,0.15347944,1992.522303,5681.087944,0.169295538,1885.094369,478.2187933,0.252196218,236.3857431,5202.869151,0.183403501,1870.279858,1409.002692,0.265871709,734.2433484,3397.338546,0.184937873,1231.461264
1998,7491.25654,0.108768675,1597.035535,2827.081485,0.126531725,701.122372,7516.389509,0.121959919,1796.728574,5961.685816,0.126570885,1478.968669,4689.308024,0.134600569,1237.119717,1441.841001,0.221731552,626.6152213,3247.467023,0.156626472,996.9330341,1963.141094,0.190174528,731.7452847,2277.504973,0.158040621,705.4790699
1999,13768.36795,0.304482694,8216.770344,3690.37911,0.217205396,1571.077705,7785.642196,0.200388039,3057.893167,5410.818493,0.204903254,2173.040863,4095.263085,0.217559676,1746.289657,1901.527975,0.336222082,1253.097961,2193.73511,0.295569638,1270.866927,2881.670274,0.193178322,1091.085409,3825.935615,0.215557292,1616.428308
2000,10407.1975,0.144094202,2939.248956,4768.874169,0.217522915,2033.18524,12924.38847,0.271310006,6872.771191,10013.42524,0.291256326,5716.287959,8155.514297,0.326415149,5217.683491,4733.957103,0.493268824,4576.822371,3421.557193,0.361826482,2426.499604,2481.632152,0.152562613,742.0644014,4131.008092,0.282045754,2283.661248
2001,15385.02331,0.140133053,4225.662547,4082.238834,0.125022837,1000.331241,13935.10199,0.175916037,4804.759513,11463.11667,0.195428239,4390.824739,9852.863158,0.214258624,4137.679367,4891.521155,0.319719687,3065.274605,4961.342003,0.183029644,1779.822418,6358.064095,0.204184253,2544.504467,4561.630348,0.225032358,2011.968293
2002,14672.49129,0.129139947,3713.8173,3470.581164,0.145071363,986.8246053,12738.7537,0.184254567,4600.460161,10895.30679,0.199956613,4270.033751,9268.172538,0.219096728,3980.027496,1328.088517,0.309424244,805.4478596,7940.084021,0.247729716,3855.309734,5500.856772,0.163478212,1762.569646,4467.50827,0.201505425,1764.445224
2003,21352.00662,0.128350694,5371.467959,5820.553935,0.154847538,1766.544952,16472.65435,0.177677548,5736.568839,13013.0427,0.202169604,5156.449714,10652.10041,0.222862437,4652.947991,1992.350758,0.25885414,1010.827356,8659.749656,0.260627733,4423.663009,4689.49186,0.239005063,2196.792099,8402.61999,0.19127402,3150.117689
2004,21894.60847,0.129063029,5538.537605,7710.294892,0.22511408,3401.96404,17028.32448,0.195631596,6529.305454,12349.71642,0.221334038,5357.488693,9318.029589,0.270831093,4946.27979,2577.450472,0.191584306,967.8461556,6740.579117,0.370457488,4894.312089,4133.146418,0.14540287,1177.903849,4728.581954,0.173292748,1606.080767
2005,29718.1347,0.102000211,5941.261799,12009.09749,0.145012112,3413.270605,34037.86226,0.160330491,10696.32206,27929.62047,0.173282084,9485.817584,22028.76478,0.190627421,8230.601762,11144.67349,0.266323633,5817.456274,10884.09129,0.236254518,5039.974845,10383.1397,0.195920019,3987.159269,11579.00026,0.187529542,4255.953047
2006,58005.54253,0.169234517,19240.41831,15526.94673,0.131570313,4004.055066,43537.48089,0.221604397,18910.27054,34805.26039,0.257534517,17568.56962,28010.53415,0.295687608,16233.44096,5888.728793,0.265207611,3061.001961,22121.80536,0.342976022,14871.00767,13259.01937,0.224489196,5833.952944,14939.40262,0.172373768,5047.315809
2007,60265.06434,0.183577113,21684.04154,18221.04489,0.225986403,8070.708446,43958.35757,0.27824763,23973.36531,33191.59707,0.307367246,19995.93917,25737.31268,0.320589236,16172.16661,12665.84763,0.596321222,14803.71092,13071.46505,0.231095584,5920.685379,5640.032924,0.226241601,2500.979756,13436.36537,0.187830065,4946.556627
2008,34144.20984,0.138616815,9276.604748,18859.7592,0.201738493,7457.289219,50768.53873,0.330091571,32846.20269,40211.8665,0.367410808,28957.57777,31908.77953,0.415139427,25963.32123,24163.46058,0.537959739,25477.97915,7745.318949,0.196619594,2984.847671,2859.994494,0.206940326,1160.022457,11662.75271,0.181882142,4157.643023
2009,18155.98398,0.129416727,4605.388518,10687.5475,0.170071898,3562.59691,29282.97681,0.164179054,9422.996826,22655.77817,0.169479384,7525.787165,18595.42931,0.173866407,6336.916141,9300.254177,0.221916099,4045.197215,9295.175128,0.216703969,3948.030638,2571.153918,0.270120801,1361.263423,8476.979983,0.206150195,3425.160914
2010,16319.39126,0.092887408,2971.097271,10665.79653,0.184430182,3855.505796,32707.62413,0.224475319,14390.42652,27181.07415,0.240764528,12826.70745,22041.8276,0.2507921,10834.71583,12599.06817,0.376165183,9289.088345,9442.759421,0.182343304,3374.774944,3803.482004,0.162572428,1211.948955,5472.827768,0.219104451,2350.277007
2011,29347.50513,0.141901087,8162.308025,9204.137027,0.164367351,2965.204853,33364.07905,0.265677708,17373.6204,27830.50098,0.284446712,15515.93721,24159.94203,0.309928794,14676.20894,10535.88353,0.63648687,13143.66499,13624.0585,0.209279984,5588.435772,10391.81167,0.189646675,3862.714157,5413.682698,0.144286386,1530.996594
2012,54781.27733,0.209203881,22462.49338,10606.18773,0.164926477,3428.512696,25349.31028,0.152320174,7567.974262,18830.73753,0.152164351,5616.119237,14743.12255,0.16453101,4754.37364,5720.197847,0.318060845,3565.96708,9022.924705,0.155492299,2749.870801,11676.38771,0.239522931,5481.65471,12355.39009,0.224275763,5431.188498
2013,49853.8748,0.18250801,17833.51366,30947.81008,0.34307484,20810.13341,53565.66486,0.255694038,26844.98549,34442.28541,0.213902332,14439.87893,22617.85478,0.179291235,7948.15893,16254.02708,0.240302068,7655.517592,6363.8277,0.159987687,1995.542789,6414.901784,0.180001794,2263.199907,17848.71146,0.214756301,7512.921583
2014,47199.51854,0.138863453,12846.40471,25759.93223,0.116655128,5889.855271,61735.98446,0.11221004,13577.6987,46190.81532,0.120596805,10918.11091,35976.05223,0.134554834,9487.873394,22062.28045,0.185698511,8029.987974,13913.77178,0.147046537,4010.105043,2512.813208,0.203938649,1004.421074,14863.72216,0.285963706,8330.950753
2015,21883.92244,0.100952553,4330.106165,18760.89596,0.104499909,3842.603377,52367.47423,0.103994377,10674.0088,41934.41257,0.10925849,8980.113548,33606.57827,0.116327155,7662.340991,17463.97472,0.170375732,5831.857472,16142.60355,0.168442557,5329.438795,1666.358783,0.170600968,557.1935444,11211.41166,0.250311836,5500.444114
2016,21203.59852,0.13973633,5807.309538,18609.99644,0.105221893,3838.030943,47630.90753,0.093416322,8721.028184,37714.35177,0.098068608,7249.244193,29020.91109,0.10498725,5971.778274,8438.902212,0.136500078,2257.745194,20582.00888,0.127238076,5132.877804,1106.31527,0.21377174,463.5379221,7505.59634,0.255695915,3761.534634
2017,14229.08781,0.106009639,2956.504097,14384.69067,0.105403281,2971.73945,39408.41103,0.122962326,9497.669803,31655.2575,0.132969902,8250.025131,25023.72036,0.145695977,7145.876557,2523.34741,0.485983342,2403.557424,22500.37295,0.149604408,6597.663739,1413.294633,0.183191115,507.4499179,7004.616298,0.23045826,3163.972506
2018,15072.55491,0.097509065,2880.633038,11204.99247,0.105489357,2316.734611,31430.46816,0.115843146,7136.368442,25145.97184,0.122493185,6037.211974,20225.47569,0.129862843,5148.014048,1097.485784,0.178153862,383.2218078,19127.9899,0.134284482,5034.440758,4910.525977,0.170428579,1640.312166,4890.688638,0.202860511,1944.57009
2019,13708.17447,0.155253446,4171.352995,4814.765558,0.121443044,1146.050782,14585.31299,0.116757873,3337.782242,11912.70139,0.124291748,2902.074945,9770.547433,0.13004099,2490.320461,516.5189921,0.251514607,254.6276598,9254.028441,0.130894495,2374.150703,4819.711098,0.163427207,1543.836973,4765.376674,0.21750973,2031.57096
2021,21527.99244,0.117875423,4973.73758,5201.328403,0.134965867,1375.92352,9610.197856,0.134299524,2529.664199,6482.817372,0.146275822,1858.627707,4408.869452,0.15187676,1312.42542,1862.83738,0.255934106,934.4566925,2546.032072,0.175499286,875.7805482,3301.396866,0.13495084,873.2315073,8419.830195,0.151415382,2498.787938
